Product's ID,Full product's name,Producer's official name,Current price,Product type
P00000000,Nail Polish,Neutrogena,12.09,Shampoo
P00000001,Setting Spray,Elizabeth Arden,18.08,Mascara
P00000002,Lip Balm,Rimmel,17.59,Shampoo
P00000003,Beard Oil,Pantene,14.41,Shampoo
P00000004,Shaving Cream,CoverGirl,14.86,Sunscreen
P00000005,Foundation,St. Ives,18.1,Face Serum
P00000006,Hair Serum,Garnier,14.42,Foundation
P00000007,Setting Spray,Olay,14.04,Body Lotion
P00000008,Cuticle Oil,Origins,12.93,Moisturizer
P00000009,Face Mask,Tresemmé,10.36,Shampoo
P00000010,Blush,Kiehl's,15.28,Lipstick
P00000011,Shaving Cream,Pantene,15.46,Body Lotion
P00000012,Cuticle Oil,Origins,11.41,Body Lotion
P00000013,Hair Gel,Revlon,11.39,Body Lotion
P00000014,Foot Scrub,MAC Cosmetics,10.66,Body Lotion
P00000015,Body Scrub,Tresemmé,18.81,Mascara
P00000016,Hair Dye,Cetaphil,13.98,Mascara
P00000017,Nail Polish,Estée Lauder,14.66,Body Lotion
P00000018,Blush,Avon,11.49,Face Serum
P00000019,Setting Spray,Estée Lauder,10.45,Conditioner
P00000020,Moisturizer,Neutrogena,19.53,Face Serum
P00000021,Face Mask,Estée Lauder,17.4,Foundation
P00000022,Body Scrub,Elizabeth Arden,17.62,Mascara
P00000023,Exfoliating Scrub,Elizabeth Arden,15.93,Face Serum
P00000024,Makeup Remover,St. Ives,18.94,Sunscreen
P00000025,Under Eye Cream,Urban Decay,11.69,Sunscreen
P00000026,Moisturizer,Maybelline,10.19,Conditioner
P00000027,Blush,Biore,12.81,Body Lotion
P00000028,Hair Serum,The Body Shop,18.89,Eyeliner
P00000029,Hair Mousse,Revlon,10.14,Mascara
P00000030,Anti-Aging Cream,MAC Cosmetics,10.56,Conditioner
P00000031,Setting Spray,NYX,11.26,Mascara
P00000032,Cuticle Oil,Clinique,14.55,Eyeliner
P00000033,Foot Scrub,Tresemmé,19.16,Sunscreen
P00000034,Shampoo,Origins,19.64,Face Serum
P00000035,Clay Mask,Nivea,16.91,Sunscreen
P00000036,Hair Serum,Estée Lauder,15.96,Body Lotion
P00000037,Bronzer,Avon,13.63,Face Serum
P00000038,Body Scrub,MAC Cosmetics,19.87,Face Serum
P00000039,Foot Scrub,Rimmel,16.03,Conditioner
P00000040,Foot Scrub,Neutrogena,12.49,Foundation
P00000041,Deodorant,Clinique,15.07,Shampoo
P00000042,Hair Serum,Tresemmé,10.69,Eyeliner
P00000043,Hydrating Mist,Origins,13.6,Face Serum
P00000044,Hair Spray,Biore,17.98,Face Serum
P00000045,Foot Scrub,Nivea,10.62,Moisturizer
P00000046,Conditioner,Nivea,16.97,Sunscreen
P00000047,Body Scrub,MAC Cosmetics,12.66,Mascara
P00000048,Hair Spray,MAC Cosmetics,15.02,Lipstick
P00000049,Deodorant,CoverGirl,13.16,Shampoo
P00000050,Conditioner,CoverGirl,11.52,Foundation
P00000051,Clay Mask,Sephora,12.88,Foundation
P00000052,Body Scrub,Tresemmé,13.71,Mascara
P00000053,Hair Mask,Burt's Bees,13.06,Foundation
P00000054,Bronzer,Olay,11.26,Body Lotion
P00000055,Body Lotion,L'Oreal,15.64,Moisturizer
P00000056,Cuticle Oil,Origins,15.01,Conditioner
P00000057,Eye Shadow,Burt's Bees,14.12,Foundation
P00000058,Sunscreen,Pantene,13.53,Eyeliner
P00000059,Hydrating Mist,Avon,16.35,Foundation
P00000060,Shaving Cream,CoverGirl,11.52,Body Lotion
P00000061,Hair Mousse,Tresemmé,18.89,Sunscreen
P00000062,Toner,Estée Lauder,15.45,Foundation
P00000063,Foot Scrub,Cetaphil,18.08,Mascara
P00000064,Blush,Revlon,11.44,Sunscreen
P00000065,Deodorant,Sephora,14.1,Body Lotion
P00000066,Highlighter,Clinique,17.58,Conditioner
P00000067,Toner,NYX,10.48,Sunscreen
P00000068,Lipstick,Sephora,13.88,Sunscreen
P00000069,Moisturizer,Rimmel,17.29,Shampoo
P00000070,Hair Gel,Chanel,10.25,Eyeliner
P00000071,Exfoliating Scrub,Rimmel,17.68,Conditioner
P00000072,Hydrating Mist,Burt's Bees,12.38,Face Serum
P00000073,Beard Oil,Revlon,14.05,Lipstick
P00000074,Hair Mask,MAC Cosmetics,10.71,Eyeliner
P00000075,Highlighter,Rimmel,18.85,Eyeliner
P00000076,Hair Serum,Urban Decay,11.78,Face Serum
P00000077,Anti-Aging Cream,Burt's Bees,16.26,Mascara
P00000078,Shaving Cream,Clinique,15.65,Face Serum
P00000079,Nail Polish,MAC Cosmetics,17.24,Shampoo
P00000080,Face Wash,Kiehl's,14.25,Face Serum
P00000081,Shaving Cream,Maybelline,18.95,Lipstick
P00000082,Under Eye Cream,Chanel,13.1,Foundation
P00000083,Body Lotion,Origins,15.08,Mascara
P00000084,Body Scrub,Nivea,18.31,Moisturizer
P00000085,Hair Serum,Biore,13.07,Conditioner
P00000086,Hair Spray,L'Oreal,10.36,Shampoo
P00000087,Massage Oil,CoverGirl,18.1,Foundation
P00000088,Hydrating Mist,Origins,16.34,Moisturizer
P00000089,Bronzer,St. Ives,15.48,Face Serum
P00000090,Foot Scrub,Neutrogena,19.1,Face Serum
P00000091,Exfoliating Scrub,MAC Cosmetics,13.59,Conditioner
P00000092,Hair Mask,Nivea,14.75,Mascara
P00000093,Conditioner,NYX,13.73,Foundation
P00000094,Eye Shadow,Elizabeth Arden,11.83,Mascara
P00000095,Setting Spray,NYX,16.23,Lipstick
P00000096,Hair Mask,Rimmel,12.53,Shampoo
P00000097,Lip Balm,Burt's Bees,19.56,Conditioner
P00000098,Hair Serum,Rimmel,19.71,Moisturizer
P00000099,Hair Mousse,Nivea,10.13,Foundation
P00000100,Conditioner,Elizabeth Arden,15.43,Shampoo
P00000101,Massage Oil,Sephora,17.29,Lipstick
P00000102,Exfoliating Scrub,St. Ives,18.11,Foundation
P00000103,Setting Spray,Garnier,11.08,Moisturizer
P00000104,Concealer,Avon,10.03,Shampoo
P00000105,Moisturizer,CoverGirl,18.74,Foundation
P00000106,Lip Balm,L'Oreal,12.62,Lipstick
P00000107,Hair Serum,Lancome,13.7,Sunscreen
P00000108,Sunscreen,Origins,10.96,Foundation
P00000109,Hair Dye,Avon,13.85,Conditioner
P00000110,Face Wash,Lancome,11.58,Eyeliner
P00000111,Eye Shadow,Estée Lauder,16.56,Lipstick
P00000112,Blush,NYX,19.37,Lipstick
P00000113,Exfoliating Scrub,CoverGirl,10.47,Eyeliner
P00000114,Shampoo,Chanel,13.67,Mascara
P00000115,Hair Spray,MAC Cosmetics,13.74,Foundation
P00000116,Body Lotion,Urban Decay,17.81,Shampoo
P00000117,Highlighter,Tresemmé,17.09,Shampoo
P00000118,Body Scrub,CoverGirl,16.36,Mascara
P00000119,Bronzer,Origins,14.18,Mascara
P00000120,Hair Gel,Biore,10.29,Conditioner
P00000121,Toner,Sephora,16.57,Eyeliner
P00000122,Eyeliner,Burt's Bees,16.8,Moisturizer
P00000123,Massage Oil,Sephora,12.69,Body Lotion
P00000124,Hair Dye,Avon,15.91,Eyeliner
P00000125,Blush,Rimmel,14.25,Shampoo
P00000126,Face Wash,L'Oreal,13.29,Sunscreen
P00000127,Bronzer,Rimmel,12.88,Moisturizer
P00000128,Shaving Cream,Burt's Bees,13.93,Face Serum
P00000129,Deodorant,Maybelline,16.45,Lipstick
P00000130,Shaving Cream,Revlon,19.78,Lipstick
P00000131,Hair Spray,Nivea,15.37,Moisturizer
P00000132,Cuticle Oil,CoverGirl,14.32,Body Lotion
P00000133,Highlighter,The Body Shop,16.43,Eyeliner
P00000134,Cuticle Oil,MAC Cosmetics,17.43,Foundation
P00000135,Hair Dye,Garnier,16.16,Conditioner
P00000136,Anti-Aging Cream,Lancome,10.93,Face Serum
P00000137,Conditioner,Elizabeth Arden,13.48,Mascara
P00000138,Blush,Pantene,16.82,Lipstick
P00000139,Cuticle Oil,Chanel,17.94,Conditioner
P00000140,Shaving Cream,L'Oreal,10.18,Eyeliner
P00000141,Under Eye Cream,Biore,12.9,Lipstick
P00000142,Blush,Garnier,12.43,Sunscreen
P00000143,Conditioner,Clinique,14.45,Shampoo
P00000144,Concealer,Maybelline,14.78,Eyeliner
P00000145,Body Scrub,Biore,13.37,Sunscreen
P00000146,Setting Spray,Aveda,14.75,Mascara
P00000147,Under Eye Cream,Maybelline,13.3,Foundation
P00000148,Beard Oil,Urban Decay,12.46,Body Lotion
P00000149,Shampoo,The Body Shop,19.09,Eyeliner
P00000150,Shaving Cream,CoverGirl,11.38,Shampoo
P00000151,Setting Spray,Clinique,10.81,Mascara
P00000152,Perfume,NYX,17.74,Mascara
P00000153,Blush,MAC Cosmetics,14.1,Moisturizer
P00000154,Hair Serum,Biore,18.03,Eyeliner
P00000155,Moisturizer,Urban Decay,11.33,Mascara
P00000156,Cuticle Oil,Elizabeth Arden,15.06,Lipstick
P00000157,Face Wash,Urban Decay,10.82,Face Serum
P00000158,Cuticle Oil,Olay,13.06,Moisturizer
P00000159,Hair Dye,Burt's Bees,10.08,Conditioner
P00000160,Under Eye Cream,St. Ives,17.17,Eyeliner
P00000161,Blush,Clinique,18.26,Face Serum
P00000162,Foot Scrub,Garnier,13.46,Foundation
P00000163,Body Scrub,Rimmel,15.01,Conditioner
P00000164,Exfoliating Scrub,NYX,13.19,Body Lotion
P00000165,Moisturizer,NYX,16.39,Lipstick
P00000166,Hair Serum,Clinique,10.38,Moisturizer
P00000167,Body Lotion,Avon,19.48,Body Lotion
P00000168,Toner,Lancome,11.9,Conditioner
P00000169,Lip Balm,NYX,13.03,Foundation
P00000170,Nail Polish,Dove,18.69,Moisturizer
P00000171,Hair Dye,Biore,15.42,Eyeliner
P00000172,Anti-Aging Cream,Olay,18.45,Foundation
P00000173,Hair Gel,Nivea,18.31,Mascara
P00000174,Hair Mask,Urban Decay,17.19,Face Serum
P00000175,Face Mask,Maybelline,12.27,Sunscreen
P00000176,Under Eye Cream,Revlon,13.7,Eyeliner
P00000177,Hair Spray,Elizabeth Arden,14.27,Sunscreen
P00000178,Under Eye Cream,Clinique,13.42,Sunscreen
P00000179,Deodorant,Garnier,14.19,Moisturizer
P00000180,Foundation,Chanel,10.87,Sunscreen
P00000181,Makeup Remover,Lancome,11.82,Foundation
P00000182,Lipstick,MAC Cosmetics,16.92,Conditioner
P00000183,Body Scrub,Elizabeth Arden,14.69,Mascara
P00000184,Concealer,Revlon,13.16,Mascara
P00000185,Shaving Cream,Rimmel,17.98,Conditioner
P00000186,Eyeliner,Pantene,13.84,Sunscreen
P00000187,Body Scrub,Burt's Bees,12.85,Foundation
P00000188,Hair Serum,Elizabeth Arden,11.39,Face Serum
